"city","country","pop2023","latitude","longitude","fill"
"Cherbourg-Octeville","France",26655,49.6398,-1.61636
"Armentieres","France",26646,50.6857,2.88214
"Lunel","France",26588,43.6778,4.13611
"Cachan","France",26540,48.7963,2.33661
"Le Grand-Quevilly","France",26522,49.4008,1.04582
"Abbeville","France",26461,50.1052,1.83547
"La Garenne-Colombes","France",26385,48.9047,2.2469
"Montigny-les-Metz","France",26369,49.0956,6.15271
"Vanves","France",26068,48.8234,2.29025
"Vernon","France",26037,49.0929,1.46332
"Savigny-le-Temple","France",25925,48.5741,2.58287
"Dole","France",25878,47.0923,5.48966
"Villeneuve-sur-Lot","France",25869,44.4085,0.70415
"Les Ulis","France",25785,48.6817,2.16944
"Marseille 02","France",25779,43.2966,5.37034
"Oyonnax","France",25697,46.2592,5.65727
"Oullins","France",25592,45.714,4.80755
"Le Creusot","France",25590,46.8071,4.41632
"Henin-Beaumont","France",25371,50.4136,2.96485
"Orvault","France",25338,47.2712,-1.62361
"Coudekerque-Branche","France",25201,51.0229,2.39359
"Herblay","France",25153,48.9899,2.1699
"Ris-Orangis","France",25082,48.6511,2.41406
"Sucy-en-Brie","France",25014,48.7687,2.53474
"Grigny","France",24940,48.6541,2.39343
"Fresnes","France",24803,48.7557,2.32241
"Romainville","France",24772,48.8854,2.43482
"Fontenay-aux-Roses","France",24680,48.7933,2.29275
"Decines-Charpieu","France",24674,45.7687,4.95883
"Saint-Die-des-Vosges","France",24628,48.2843,6.94921
"Fontaine","France",24588,45.1927,5.68821
"Auch","France",24494,43.6456,0.58856
"Bruay-la-Buissiere","France",24474,50.4833,2.55
"Lisieux","France",24473,49.1466,0.22925
"Sarreguemines","France",24446,49.11,7.06747
"Torcy","France",24386,48.8506,2.65078
"Gradignan","France",24385,44.7736,-0.61395
"Lanester","France",24352,47.7632,-3.3393
"Bretigny-sur-Orge","France",24317,48.6114,2.30593
"Muret","France",24313,43.46,1.32541
"Bois-Colombes","France",24300,48.9194,2.27485
"Blagnac","France",24263,43.6367,1.38971
"Herouville-Saint-Clair","France",24258,49.2109,-0.30653
"Libourne","France",24240,44.9145,-0.24186
"Le Bouscat","France",24232,44.8649,-0.59864
"Miramas","France",24173,43.5851,5.00268
"Beaune","France",24162,47.0241,4.83887
"Eaubonne","France",24096,48.9971,2.28249
"Brunoy","France",24096,48.6942,2.49223
"Villeparisis","France",23931,48.9421,2.61463
"Montfermeil","France",23829,48.8982,2.57913
"Sevres","France",23724,48.8229,2.21757
"Fougeres","France",23719,48.3516,-1.19961
"Saint-Pol-sur-Mer","France",23635,51.0312,2.33983
"La Madeleine","France",23572,50.646,3.07585
"Gif-sur-Yvette","France",23541,48.6833,2.13333
"Bourgoin-Jallieu","France",23517,45.5861,5.27361
"Begles","France",23504,44.8076,-0.55144
"Cahors","France",23331,44.4491,1.43663
"Millau","France",23307,44.0997,3.07848
"Hazebrouck","France",23307,50.7237,2.53729
"Grande-Synthe","France",23213,51.0154,2.29975
"La Valette-du-Var","France",23134,43.1376,5.98317
"Moulins","France",23095,46.5646,3.33243
"Mont-Saint-Aignan","France",23078,49.4631,1.09364
"Etampes","France",23012,48.4351,2.16233
"Mons-en-Baroeul","France",23006,50.6333,3.11667
"Agde","France",23001,43.3108,3.47583
"Saint-Ouen-l'Aumone","France",22977,49.0435,2.12134
"Vertou","France",22921,47.1688,-1.4729
"Montgeron","France",22843,48.7054,2.45039
"Maisons-Laffitte","France",22772,48.9526,2.14521
"Le Puy-en-Velay","France",22718,45.0437,3.88523
"Le Petit-Quevilly","France",22691,49.4134,1.06155
"Lormont","France",22636,44.8765,-0.51919
"Olivet","France",22604,47.8622,1.8991
"Acheres","France",22555,48.9612,2.06882
"Ozoir-la-Ferriere","France",22530,48.767,2.66871
